SMILES,"T,K",Solubility,Solvent,SMILES_Solvent,Source,ensemble_rdkit,dipole,mol_structure,HBAcceptor,HBDonor,AromaticRings
ON(Cc1ccccc1)Cc1ccccc1,273.15,0.001261,methanol,CO,10.1021/acs.jced.9b01028,ConformerEnsemble(10 conformers),0.7486257090061631,<rdkit.Chem.rdchem.Mol object at 0x2b9c9c962880>,2,1,2
ON(Cc1ccccc1)Cc1ccccc1,279.15,0.001713,methanol,CO,10.1021/acs.jced.9b01028,ConformerEnsemble(10 conformers),0.7486257090061631,<rdkit.Chem.rdchem.Mol object at 0x2b9c9ded8e40>,2,1,2
ON(Cc1ccccc1)Cc1ccccc1,283.45,0.002094,methanol,CO,10.1021/acs.jced.9b01028,ConformerEnsemble(10 conformers),0.7486257090061631,<rdkit.Chem.rdchem.Mol object at 0x2b9c9deb6ce0>,2,1,2
ON(Cc1ccccc1)Cc1ccccc1,289.05,0.00276,methanol,CO,10.1021/acs.jced.9b01028,ConformerEnsemble(10 conformers),0.7486257090061631,<rdkit.Chem.rdchem.Mol object at 0x2b9c9deed7e0>,2,1,2
ON(Cc1ccccc1)Cc1ccccc1,293.05,0.003327,methanol,CO,10.1021/acs.jced.9b01028,ConformerEnsemble(10 conformers),0.7486257090061631,<rdkit.Chem.rdchem.Mol object at 0x2b9c9deed9a0>,2,1,2
ON(Cc1ccccc1)Cc1ccccc1,297.65,0.004088,methanol,CO,10.1021/acs.jced.9b01028,ConformerEnsemble(10 conformers),0.7486257090061631,<rdkit.Chem.rdchem.Mol object at 0x2b9c9deed4d0>,2,1,2
ON(Cc1ccccc1)Cc1ccccc1,302.85,0.005126,methanol,CO,10.1021/acs.jced.9b01028,ConformerEnsemble(10 conformers),0.7486257090061631,<rdkit.Chem.rdchem.Mol object at 0x2b9c9deeda10>,2,1,2
ON(Cc1ccccc1)Cc1ccccc1,308.05,0.006478,methanol,CO,10.1021/acs.jced.9b01028,ConformerEnsemble(10 conformers),0.7486257090061631,<rdkit.Chem.rdchem.Mol object at 0x2b9c9deed540>,2,1,2
ON(Cc1ccccc1)Cc1ccccc1,313.15,0.00795,methanol,CO,10.1021/acs.jced.9b01028,ConformerEnsemble(10 conformers),0.7486257090061631,<rdkit.Chem.rdchem.Mol object at 0x2b9c9deed460>,2,1,2
ON(Cc1ccccc1)Cc1ccccc1,317.15,0.009337,methanol,CO,10.1021/acs.jced.9b01028,ConformerEnsemble(10 conformers),0.7486257090061631,<rdkit.Chem.rdchem.Mol object at 0x2b9c9deed700>,2,1,2
